timestamp,open,high,low,close,volume
2025-04-13 07:18:00,129.08,129.1,129.02,129.04,5632.75
2025-04-13 07:19:00,129.04,129.18,129.03,129.13,897.64
2025-04-13 07:20:00,129.14,129.27,129.0,129.01,1695.475
2025-04-13 07:21:00,129.01,129.08,128.96,128.99,2127.696
2025-04-13 07:22:00,128.99,129.01,128.87,128.97,1220.887
2025-04-13 07:23:00,128.97,129.02,128.94,128.94,2125.165
2025-04-13 07:24:00,128.93,128.98,128.76,128.79,2393.941
2025-04-13 07:25:00,128.79,128.97,128.79,128.86,1843.825
2025-04-13 07:26:00,128.87,128.92,128.77,128.79,2540.398
2025-04-13 07:27:00,128.8,128.85,128.72,128.74,1287.892
2025-04-13 07:28:00,128.73,128.82,128.73,128.77,1139.545
2025-04-13 07:29:00,128.78,128.89,128.77,128.84,1197.017
2025-04-13 07:30:00,128.84,128.97,128.79,128.79,1035.074
2025-04-13 07:31:00,128.78,128.8,128.59,128.64,4051.49
2025-04-13 07:32:00,128.64,128.73,128.57,128.67,2940.423
2025-04-13 07:33:00,128.67,128.71,128.6,128.61,2703.296
2025-04-13 07:34:00,128.61,128.74,128.61,128.73,1820.997
2025-04-13 07:35:00,128.73,128.74,128.51,128.56,1955.303
2025-04-13 07:36:00,128.57,128.63,128.51,128.54,2990.819
2025-04-13 07:37:00,128.54,128.54,128.47,128.53,2171.981
2025-04-13 07:38:00,128.53,128.53,128.44,128.46,1640.848
2025-04-13 07:39:00,128.46,128.46,128.37,128.37,2022.601
2025-04-13 07:40:00,128.37,128.48,128.37,128.42,3001.436
2025-04-13 07:41:00,128.42,128.42,128.35,128.38,7409.699
2025-04-13 07:42:00,128.39,128.39,128.26,128.34,8015.783
2025-04-13 07:43:00,128.34,128.34,128.22,128.27,8329.95
2025-04-13 07:44:00,128.26,128.29,128.17,128.25,7180.807
2025-04-13 07:45:00,128.25,128.49,128.24,128.47,3243.26
2025-04-13 07:46:00,128.46,128.64,128.42,128.59,5757.735
2025-04-13 07:47:00,128.6,128.76,128.59,128.76,2381.952
2025-04-13 07:48:00,128.75,128.76,128.54,128.62,1324.392
2025-04-13 07:49:00,128.61,128.88,128.56,128.88,9787.136
